iso3,country_name,income_group,gdp_usd,actual_contribution_usd,adjusted_target_usd,gap_usd,giving_rate,p_donate,pred_donation_usd,expected_contribution,donor_segment,imr,unga_alignment_score,wb_vote_share_score,ifc_presence_score,alignment_score,excluded_components
ZMB,Zambia,LMC,25303185342.2511,0.0,131971.3367142641,131971.3367142641,0.0,0.058905697740216444,16860961.306864038,131971.3367142641,Low Probability,1.9932965229665203,,0.0,0,0.0,unga_alignment_score
CHI,Channel Islands,HIC,12507320838.3932,0.0,129076.10347647291,129076.10347647291,0.0,0.11655594816237941,13929543.792278128,129076.10347647291,Low Probability,1.681286292183675,,0.0,0,0.0,unga_alignment_score
CYM,Cayman Islands,HIC,7241244269.45972,0.0,123354.06717017067,123354.06717017067,0.0,0.1923947252942098,11725052.385408718,123354.06717017067,Low Probability,1.4213334396133852,,0.0,0,0.0,unga_alignment_score
MLI,Mali,LIC,26794747239.8805,0.0,120756.83253798724,120756.83253798724,0.0,0.050899666163964186,17725680.333023757,120756.83253798724,Low Probability,2.0552503005768608,,0.0,0,0.0,unga_alignment_score
NAM,Namibia,LMC,13372354511.716,0.0,119680.77207510427,119680.77207510427,0.0,0.10108096660369004,13530299.641107898,119680.77207510427,Low Probability,1.7498875601803074,,0.0,0,0.0,unga_alignment_score
MOZ,Mozambique,LIC,22745341305.0622,0.0,117707.86217326888,117707.86217326888,0.0,0.05844749462195193,15932621.147709187,117707.86217326888,Low Probability,1.9966464885550965,,0.0,0,0.0,unga_alignment_score
LIE,Liechtenstein,HIC,8239379403.22096,0.0,116585.2393558058,116585.2393558058,0.0,0.1598092645218258,11746521.638146836,116585.2393558058,Low Probability,1.521325990288411,,0.0,0,0.0,unga_alignment_score
BFA,Burkina Faso,LIC,23124729853.0218,0.0,110740.4778538529,110740.4778538529,0.0,0.054085719425558024,16611130.028068736,110740.4778538529,Low Probability,2.029682086476849,,0.0,0,0.0,unga_alignment_score
BEN,Benin,LMC,21482643706.4249,0.0,110547.90460429633,110547.90460429633,0.0,0.05811867104683386,15542356.43715568,110547.90460429633,Low Probability,1.9990640360180034,,0.0,0,0.0,unga_alignment_score
XKX,Kosovo,UMC,11197246322.588,0.0,110510.46989438917,110510.46989438917,0.0,0.11146668334798276,12480761.82776355,110510.46989438917,Low Probability,1.7030092554571055,,0.0,0,0.0,unga_alignment_score
HTI,Haiti,LMC,25224154990.7946,0.0,109990.93683716955,109990.93683716955,0.0,0.04924851735883685,16455064.074850759,109990.93683716955,Low Probability,2.0690331017582344,,0.0,0,0.0,unga_alignment_score
COG,"Congo, Rep.",LMC,15719986076.6464,0.0,105282.54662473648,105282.54662473648,0.0,0.07564097355624723,14721142.612563778,105282.54662473648,Low Probability,1.8835912498454115,,0.0,0,0.0,unga_alignment_score
SYR,Syrian Arab Republic,LIC,23622827079.5047,0.0,95114.73277530305,95114.73277530305,0.0,0.04547459153673462,15107993.851941487,95114.73277530305,Low Probability,2.1020579371168973,,0.0,0,0.0,unga_alignment_score
MNE,Montenegro,UMC,8270016670.86774,0.0,94162.26202284369,94162.26202284369,0.0,0.12859479293089932,10530112.376727732,94162.26202284369,Low Probability,1.632706992445645,,0.0,0,0.0,unga_alignment_score
GNQ,Equatorial Guinea,UMC,12765777677.0622,0.0,92357.20593768952,92357.20593768952,0.0,0.08171022281452422,16003688.593741933,92357.20593768952,Low Probability,1.8487212732743077,,0.0,0,0.0,unga_alignment_score
